Z' (Ω)	-Z'' (Ω)	Z (Ω)	Frequency (Hz)	-Phase (°)
7.59948407168228	1.05771196928852	7.67273828341153	100000	7.92364251534706
7.42858782603287	1.58006951423265	7.59477035590222	74989	12.0079284747108
7.38425552292716	2.0807649228894	7.67181935998282	56234	15.7369860744066
7.40210558129056	2.75148528885267	7.89695120482238	42170	20.3909344023492
7.45281232533323	3.59692943824416	8.27540409529023	31623	25.7632174939602
7.59010925626613	4.66842686242006	8.91089040959555	23714	31.5943071544453
7.71091293348539	6.1376030550143	9.85537160784478	17783	38.5184993654556
7.96574861230374	8.01092958930212	11.2972626701859	13335	45.162028199036
8.40128148447196	10.5055881435151	13.4517252730829	10000	51.3507984724689
8.89078089270411	13.7569191853705	16.3798293750236	7498.9	57.1263422121086
9.66497422368213	17.9194508904533	20.3597261022786	5623.4	61.6595025178452
10.7602677793055	23.2420082440792	25.6119954298802	4217	65.1574509712421
12.3981417171683	30.0965276241666	32.5501903692008	3162.3	67.6109879809991
14.6752319593239	38.7996798563135	41.4822563274032	2371.4	69.2818407096227
18.013934661946	49.8268532827084	52.9831779913343	1778.3	70.1235236283819
22.5458307197772	63.4339424499306	67.3214641669799	1333.5	70.4336581670153
28.6932877202286	80.4385822827143	85.4029875346806	1000	70.3681483850526
37.2656853194193	101.581493410297	108.201345212488	749.89	69.854182007371
47.8944962106291	126.779233113909	135.524376833915	562.34	69.3045021011302
62.1308501040632	157.822612985002	169.611968044909	421.7	68.5116700881288
80.3359462855275	195.411894061441	211.281027558726	316.23	67.6519053481653
103.32708444283	240.789459790667	262.022995795669	237.14	66.7749593021075
132.183980221001	295.644749553867	323.849382531192	177.83	65.9103855970867
168.251335167847	361.617503749444	398.84299016498	133.35	65.0486510050217
213.239138859482	441.111420108521	489.949196643581	100	64.2002583029056
