Z' (Ω)	-Z'' (Ω)	Z (Ω)	Frequency (Hz)	-Phase (°)
60.6099737624695	-8.66837071140795	61.2267063484361	100000	-8.13918380325419
14.4873080910738	-20.9352952272332	25.4591571340668	74989	-55.3166106375534
12.1903168439393	-15.6022664633519	19.7998622103556	56234	-51.9988819326619
10.9746896687863	-11.2134612844354	15.6903004210785	42170	-45.616548797626
10.0002750283148	-7.4169967753579	12.4505960422627	31623	-36.5635620694819
9.54867547353486	-4.46967007091384	10.5430144570568	23714	-25.0839744538466
8.98164510249126	-0.983805695279385	9.03536509462509	17783	-6.25098070198856
8.8101959796934	2.09736830265711	9.05640695847954	13335	13.3906673625303
9.0444074886593	5.6806530807526	10.6804085242457	10000	32.1322971719724
9.38669676556155	9.21759313161866	13.155762969462	7498.9	44.4792245357159
9.91367501621088	13.6937265400194	16.905593715687	5623.4	54.0970620406441
10.8562358635451	18.9420323848008	21.832508971526	4217	60.1817095205252
12.2776440836518	25.1916236270762	28.024247451325	3162.3	64.0167803635409
14.5821671076905	32.929380821493	36.0136601700455	2371.4	66.114728408891
17.7552913079121	42.4291762379052	45.9944058082724	1778.3	67.2922055308095
22.0269415542479	54.1815120854539	58.487797069991	1333.5	67.8763005178686
27.7602036033438	68.4762912139142	73.8893183248558	1000	67.9324274068825
35.5482299333907	85.2039560742348	92.3222117482967	749.89	67.3534499752553
44.9525679252097	106.498104943693	115.596625035805	562.34	67.1155207512897
57.1253975740123	131.755216072091	143.606225527281	421.7	66.5597862775631
72.3747843322556	162.253295045744	177.663280281385	316.23	65.9602378212867
91.2628541216984	199.405889634843	219.298010395675	237.14	65.4076706855172
114.926116520135	244.378187041559	270.053162470131	177.83	64.8133477321661
144.577927237321	298.796095997433	331.936566270647	133.35	64.1791368163705
181.53057355696	364.399297710287	407.112020588522	100	63.5191714633851
