Time (s)	WE(1).Potential (V)
0.1288883	-0.008197021484375
0.3767531	-0.00862731933593749
0.6322662	-0.0088836669921875
0.8822759	-0.00905761718750001
1.132244	-0.0091888427734375
1.3822741	-0.0092926025390625
1.6323351	-0.0093719482421875
1.8823446	-0.009442138671875
2.1322585	-0.00950012207031251
2.382208	-0.0095489501953125
2.6321964	-0.0095947265625
2.8821854	-0.00963439941406249
3.1321744	-0.00966796875000001
3.3821623	-0.00970458984375
3.6321523	-0.009735107421875
3.8821344	-0.0097625732421875
4.1321121	-0.00979003906250001
4.3822282	-0.009814453125
4.632123	-0.0098388671875
4.8820743	-0.00986328124999999
5.1320626	-0.0098846435546875
5.3820509	-0.0099029541015625
5.6320603	-0.0099212646484375
5.8820466	-0.00993957519531249
6.1320169	-0.00995788574218751
6.3821382	-0.0099761962890625
6.6477316	-0.009991455078125
6.8977096	-0.0100067138671875
7.1476732	-0.0100250244140625
7.397585	-0.0100372314453125
7.6475727	-0.010052490234375
7.89758	-0.010064697265625
8.1475683	-0.0100799560546875
8.3975394	-0.0100921630859375
8.6475288	-0.0101043701171875
8.8976527	-0.01011962890625
9.1632617	-0.0101318359375
9.4132559	-0.0101409912109375
9.6631445	-0.0101531982421875
9.9130956	-0.010162353515625
10.1630835	-0.0101715087890625
10.4130935	-0.0101837158203125
10.6630612	-0.01019287109375
10.9130712	-0.0102020263671875
11.1630574	-0.0102142333984375
11.4131453	-0.010223388671875
11.6631495	-0.0102325439453125
11.91314	-0.01024169921875
12.1630151	-0.010247802734375
12.4129821	-0.0102569580078125
12.6629929	-0.0102691650390625
12.9129772	-0.0102783203125
13.1629698	-0.0102874755859375
13.4129513	-0.010296630859375
13.6785557	-0.010302734375
13.9286518	-0.0103118896484375
14.1942466	-0.010321044921875
14.4441406	-0.0103302001953125
14.6941503	-0.0103363037109375
14.9441177	-0.0103424072265625
15.1941052	-0.0103515625
15.4440943	-0.010357666015625
15.6940846	-0.0103668212890625
15.9441858	-0.0103729248046875
16.1940604	-0.0103790283203125
16.4441821	-0.0103851318359375
16.6941331	-0.010394287109375
16.9596503	-0.010400390625
17.209639	-0.0104095458984375
17.4596284	-0.0104156494140625
17.7096163	-0.0104217529296875
17.9596052	-0.0104278564453125
18.2096486	-0.0104339599609375
18.4595843	-0.0104400634765625
18.7095713	-0.01044921875
18.9595936	-0.010455322265625
19.209549	-0.01046142578125
19.4595588	-0.010467529296875
19.7095306	-0.0104736328125
19.9595147	-0.010479736328125
20.2095032	-0.01048583984375
20.4594929	-0.010491943359375
20.7095753	-0.010498046875
20.9594732	-0.010504150390625
21.209458	-0.0105072021484375
21.4595247	-0.0105133056640625
21.7094567	-0.0105194091796875
21.9594456	-0.0105255126953125
22.2094337	-0.0105316162109375
22.459402	-0.01053466796875
22.7094112	-0.010540771484375
22.9593947	-0.010546875
23.2094231	-0.010552978515625
23.4594506	-0.01055908203125
23.7093671	-0.0105621337890625
23.9593548	-0.0105682373046875
24.2093433	-0.0105743408203125
24.4593325	-0.0105804443359375
24.7093204	-0.01058349609375
24.9592886	-0.010589599609375
25.2092766	-0.010595703125
25.4593381	-0.0105987548828125
25.7248977	-0.010601806640625
25.9748689	-0.0106109619140625
26.224857	-0.010614013671875
26.4748654	-0.0106201171875
26.7248326	-0.010626220703125
26.9748209	-0.0106292724609375
27.2248099	-0.0106353759765625
27.4747992	-0.0106414794921875
27.7248482	-0.01064453125
27.9748114	-0.010650634765625
28.2404649	-0.01065673828125
28.4904374	-0.0106597900390625
28.740367	-0.010662841796875
28.9903775	-0.0106689453125
29.2403446	-0.0106719970703125
29.4903326	-0.010675048828125
29.7403231	-0.01068115234375
29.9903102	-0.010687255859375
30.240431	-0.0106903076171875
30.490328	-0.010693359375
30.740337	-0.010699462890625
31.0060066	-0.0107025146484375
31.2558789	-0.0107086181640625
31.5058875	-0.010711669921875
31.7558759	-0.0107147216796875
32.0058657	-0.0107208251953125
32.255851	-0.0107269287109375
32.5058411	-0.01072998046875
32.7559042	-0.010736083984375
33.0058947	-0.0107391357421875
33.2559253	-0.0107421875
33.505779	-0.0107452392578125
33.7557656	-0.0107513427734375
34.0057751	-0.01075439453125
34.2557625	-0.010760498046875
34.5057534	-0.0107635498046875
34.7557225	-0.0107696533203125
35.0057078	-0.010772705078125
35.2558319	-0.0107757568359375
35.5058208	-0.01077880859375
35.7714316	-0.010784912109375
36.0213096	-0.010791015625
36.2712772	-0.0107940673828125
36.521285	-0.010797119140625
36.7712568	-0.0108001708984375
37.0212418	-0.01080322265625
37.2713673	-0.010809326171875
37.5212211	-0.0108123779296875
37.771326	-0.0108154296875
38.0213286	-0.0108184814453125
38.271188	-0.0108245849609375
38.5211738	-0.01082763671875
38.7711643	-0.0108306884765625
39.0211721	-0.010833740234375
39.2711394	-0.01083984375
39.5211467	-0.0108428955078125
39.771177	-0.010845947265625
40.0211238	-0.0108489990234375
40.2712316	-0.0108551025390625
40.5212147	-0.010858154296875
40.7710937	-0.0108612060546875
41.0210814	-0.0108642578125
41.2710494	-0.0108673095703125
41.5210416	-0.010870361328125
41.771028	-0.0108734130859375
42.0210749	-0.01087646484375
42.2711197	-0.010882568359375
42.5209922	-0.0108856201171875
42.7710217	-0.010888671875
43.0365934	-0.0108917236328125
43.2865828	-0.010894775390625
43.536594	-0.01090087890625
43.7865599	-0.0109039306640625
44.0365483	-0.010906982421875
44.2865391	-0.0109100341796875
44.5366627	-0.0109130859375
44.7865561	-0.0109161376953125
45.036503	-0.010919189453125
45.2865527	-0.0109222412109375
45.5365039	-0.01092529296875
45.78649	-0.0109283447265625
46.0364786	-0.010931396484375
46.28645	-0.0109344482421875
46.5364529	-0.0109375
46.7864656	-0.010943603515625
47.0364888	-0.010943603515625
47.2865129	-0.0109466552734375
47.5363914	-0.01094970703125
47.7863994	-0.0109527587890625
48.0363669	-0.010955810546875
48.2863573	-0.0109619140625
48.5363454	-0.0109649658203125
48.7863331	-0.010968017578125
49.036344	-0.0109710693359375
49.2863524	-0.01097412109375
49.5363397	-0.0109771728515625
49.7863832	-0.010980224609375
50.0362766	-0.0109832763671875
50.2862869	-0.010986328125
50.5362762	-0.0109893798828125
50.7862434	-0.010992431640625
51.0362489	-0.0109954833984375
51.2862201	-0.01099853515625
51.5362634	-0.0110015869140625
51.8019576	-0.011004638671875
52.0519483	-0.0110076904296875
52.3018385	-0.0110107421875
52.5517877	-0.0110137939453125
52.8017978	-0.011016845703125
53.0517665	-0.0110198974609375
53.3017742	-0.0110198974609375
53.5517424	-0.01102294921875
53.8017308	-0.0110260009765625
54.0518524	-0.011029052734375
54.3174642	-0.01103515625
54.5674574	-0.01103515625
54.8173508	-0.0110382080078125
55.0672986	-0.011041259765625
55.3172864	-0.0110443115234375
55.5672764	-0.01104736328125
55.8172645	-0.0110504150390625
56.0672533	-0.011053466796875
56.3172612	-0.0110565185546875
56.5672719	-0.0110595703125
56.8173513	-0.0110626220703125
57.0829642	-0.0110626220703125
57.3328431	-0.011065673828125
57.5828097	-0.0110687255859375
57.8327982	-0.01107177734375
58.0827855	-0.0110748291015625
58.3327941	-0.011077880859375
58.5827637	-0.0110809326171875
58.8327935	-0.0110809326171875
59.0828586	-0.0110870361328125
59.3328434	-0.0110870361328125
59.5827565	-0.0110931396484375
59.832708	-0.01109619140625
60.0826964	-0.01109619140625
