Time (s)	WE(1).Potential (V)
0.1166993	-0.032440185546875
0.3765489	-0.0319915771484375
0.6274251	-0.03172607421875
0.8774429	-0.03153076171875
1.127417	-0.03138427734375
1.3773728	-0.0312652587890625
1.6273553	-0.0311676025390625
1.8773378	-0.0310760498046875
2.1273208	-0.030999755859375
2.3773256	-0.030926513671875
2.627396	-0.030859375
2.892933	-0.0308013916015625
3.1428813	-0.030743408203125
3.3929328	-0.030694580078125
3.6428437	-0.0306427001953125
3.8928396	-0.030596923828125
4.1428252	-0.03055419921875
4.3927908	-0.0305145263671875
4.6427724	-0.030474853515625
4.8927564	-0.0304351806640625
5.1427383	-0.0303985595703125
5.4083453	-0.030364990234375
5.6583421	-0.0303314208984375
5.9239389	-0.0302978515625
6.1739192	-0.030267333984375
6.4239008	-0.0302398681640625
6.6738828	-0.0302093505859375
6.9238661	-0.0301849365234375
7.1738509	-0.0301544189453125
7.4238325	-0.0301300048828125
7.6738139	-0.0301055908203125
7.9237999	-0.0300811767578125
8.17378	-0.0300567626953125
8.4237626	-0.030035400390625
8.6737637	-0.0300140380859375
8.9237279	-0.02999267578125
9.173712	-0.0299713134765625
9.423695	-0.029949951171875
9.6736758	-0.029931640625
9.92366	-0.029913330078125
10.1736425	-0.02989501953125
10.4236282	-0.029876708984375
10.6736074	-0.0298583984375
10.9236111	-0.0298431396484375
11.1735917	-0.029827880859375
11.423555	-0.0298095703125
11.673539	-0.0297943115234375
11.9235227	-0.029779052734375
12.1735043	-0.0297637939453125
12.4234868	-0.0297515869140625
12.6734695	-0.029736328125
12.9234517	-0.02972412109375
13.1734347	-0.0297119140625
13.42342	-0.02969970703125
13.6734226	-0.0296875
13.9233862	-0.0296722412109375
14.1733661	-0.0296630859375
14.423349	-0.02965087890625
14.6733312	-0.0296417236328125
14.9233144	-0.0296295166015625
15.1732975	-0.029620361328125
15.4232811	-0.0296112060546875
15.6732633	-0.0295989990234375
15.9388696	-0.02958984375
16.1888731	-0.0295806884765625
16.4388553	-0.029571533203125
16.6888381	-0.0295623779296875
16.9388005	-0.02955322265625
17.2044105	-0.0295440673828125
17.4543897	-0.0295379638671875
17.7043715	-0.02952880859375
17.9543565	-0.029522705078125
18.2043377	-0.0295166015625
18.454322	-0.0295074462890625
