Z' (Ω)	-Z'' (Ω)	Z (Ω)	Frequency (Hz)	-Phase (°)
8.88317856734481	0.807784064609989	8.9198305227382	100000	5.19585145931081
8.69164117418474	1.3287452818577	8.79262135684476	74989	8.69186639191014
8.65347289190973	1.93889116871788	8.86802639007963	56234	12.629072710379
8.63194608137943	2.66005353804041	9.0325178093975	42170	17.1274052335071
8.68088390866039	3.57210246954222	9.38710080315261	31623	22.3667073495488
8.7465543546791	4.78060498909802	9.96776791168137	23714	28.6596966022721
8.86531070002355	6.36919321938182	10.9160595488377	17783	35.6949756143228
9.08213906765483	8.39395451741965	12.3670417839001	13335	42.7449360800053
9.42533549965095	11.0925861022065	14.5561813576173	10000	49.6455485693181
9.82930988030664	14.5716789465536	17.5769496797518	7498.9	55.9984100938166
10.5945030950519	19.015407664173	21.7676187137168	5623.4	60.875476194178
11.5247536559468	24.8400857034349	27.3833855573822	4217	65.1106853847566
13.001077465107	32.405852070027	34.916575771948	3162.3	68.1395725822595
15.1232571095692	42.0157977639892	44.6546768810007	2371.4	70.2040573399823
18.0666044671668	54.339570802175	57.2642222678143	1778.3	71.609270707202
22.3771828402973	69.9056523059178	73.3998537885735	1333.5	72.2498460218841
28.4094990059585	89.5482071463421	93.9466925276976	1000	72.3981778645562
37.0816864904236	114.132801096616	120.005615531665	749.89	72.0010482643874
48.4128717639437	144.203460224377	152.113260740527	562.34	71.4417516803265
64.039589600927	181.157508992907	192.143467494397	421.7	70.5313832545501
84.8201219841887	225.886166447181	241.286164720682	316.23	69.4188726331609
111.934355620385	279.586425878525	301.160869808279	237.14	68.1809641983625
146.486755943226	343.583937209282	373.50808769691	177.83	66.9090603676606
189.939604053153	419.707398368837	460.685742598364	133.35	65.650754612277
243.735795847931	508.860655260483	564.221857649766	100	64.4063537480834
